['2018-07-13 21:36:50.036514', {'R': [27, 28, 39, 40, 41, 42, 43, 46, 47, 48, 49, 50, 84, 85, 86, 87], 'U': []}]
['2018-07-13 21:47:31.454423', {'R': [27, 28, 39, 40, 41, 42, 43, 46, 47, 48, 49, 50, 84, 85, 86, 87], 'U': []}]
['2018-07-13 21:58:04.696273', {'R': [27, 28, 39, 40, 41, 42, 43, 46, 47, 48, 49, 50, 84, 85, 86, 87], 'U': []}]
['2018-07-13 22:07:57.451415', {'R': [27, 28, 39, 40, 41, 42, 43, 46, 47, 48, 49, 50, 84, 85, 86, 87], 'U': []}]
['2018-07-13 22:15:39.792994', {'R': [27, 28, 39, 40, 41, 42, 43, 46, 47, 48, 49, 50, 84, 85, 86, 87], 'U': []}]
['2018-07-13 22:25:31.391579', {'R': [27, 28, 39, 40, 41, 42, 43, 46, 47, 48, 49, 50, 67, 68, 84, 85, 86, 87], 'U': []}]
['2018-07-13 22:39:10.619716', {'R': [27, 28, 39, 40, 41, 42, 43, 46, 47, 48, 49, 50, 67, 68, 84, 85, 86, 87], 'U': []}]
['2018-07-13 22:48:44.560923', {'R': [27, 28, 39, 40, 41, 42, 43, 46, 47, 48, 49, 50, 67, 68, 84, 85, 86, 87], 'U': []}]
['2018-07-13 22:58:29.955225', {'R': [27, 28, 39, 40, 41, 42, 43, 46, 47, 48, 49, 50, 67, 68, 84, 85, 86, 87], 'U': []}]
['2018-07-13 23:07:57.956121', {'R': [27, 28, 39, 40, 41, 42, 43, 46, 47, 48, 49, 50, 67, 68, 84, 85, 86, 87], 'U': []}]
['2018-07-13 23:17:15.264884', {'R': [27, 28, 39, 40, 41, 42, 43, 46, 47, 48, 49, 50, 67, 68, 84, 85, 86, 87], 'U': []}]
['2018-07-13 23:26:56.762965', {'R': [27, 28, 39, 40, 41, 42, 43, 46, 47, 48, 49, 50, 67, 68, 84, 85, 86, 87], 'U': []}]
['2018-07-13 23:36:06.642898', {'R': [27, 28, 39, 40, 41, 42, 43, 46, 47, 48, 49, 50, 67, 68, 84, 85, 86, 87], 'U': []}]
['2018-07-13 23:45:14.776477', {'R': [27, 28, 39, 40, 41, 42, 43, 46, 47, 48, 49, 50, 67, 68, 84, 85, 86, 87], 'U': []}]
['2018-07-13 23:54:26.434035', {'R': [27, 28, 39, 40, 41, 42, 43, 46, 47, 48, 49, 50, 67, 68, 84, 85, 86, 87], 'U': []}]
['2018-07-14 00:05:20.176317', {'R': [27, 28, 39, 40, 41, 42, 43, 46, 47, 48, 49, 50, 67, 68, 84, 85, 86, 87], 'U': []}]
['2018-07-14 07:09:04.963170', {'R': [27, 28, 39, 40, 41, 42, 43, 46, 47, 48, 49, 50, 67, 68, 84, 85, 86, 87], 'U': []}]
['2018-07-14 07:21:55.427819', {'R': [27, 28, 39, 40, 41, 42, 43, 46, 47, 48, 49, 50, 67, 68, 84, 85, 86, 87], 'U': []}]
['2018-07-14 07:34:36.172195', {'R': [27, 28, 39, 40, 41, 42, 43, 46, 47, 48, 49, 50, 67, 68, 84, 85, 86, 87], 'U': []}]
['2018-07-14 07:47:20.920373', {'R': [27, 28, 39, 40, 41, 42, 43, 46, 47, 48, 49, 50, 67, 68, 84, 85, 86, 87], 'U': []}]
['2018-07-14 07:59:35.092933', {'R': [18, 19, 27, 28, 39, 40, 41, 42, 43, 46, 47, 48, 49, 50, 67, 68, 84, 85, 86, 87], 'U': []}]
['2018-07-14 08:11:53.486968', {'R': [18, 19, 27, 28, 39, 40, 41, 42, 43, 46, 47, 48, 49, 50, 67, 68, 84, 85, 86, 87], 'U': []}]
['2018-07-14 08:24:32.146612', {'R': [18, 19, 27, 28, 39, 40, 41, 42, 43, 46, 47, 48, 49, 50, 67, 68, 84, 85, 86, 87], 'U': []}]
['2018-07-14 08:37:56.043292', {'R': [18, 19, 27, 28, 39, 40, 41, 42, 43, 46, 47, 48, 49, 50, 67, 68, 84, 85, 86, 87], 'U': []}]
['2018-07-14 08:51:05.039684', {'R': [18, 19, 27, 28, 39, 40, 41, 42, 43, 46, 47, 48, 49, 50, 67, 68, 84, 85, 86, 87], 'U': []}]
['2018-07-14 09:03:36.642227', {'R': [18, 19, 27, 28, 39, 40, 41, 42, 43, 46, 47, 48, 49, 50, 67, 68, 84, 85, 86, 87], 'U': []}]
